symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
STX,Stone One Public Company Limited,-,default,scanned,NO,N/A,YES,NO,YES,NO,YES,YES,32.22,0.0,100.0,7.38,,9.44,0.148,5.5,5.33,0.9,276421140.0
SUC,SAHA-UNION PUBLIC COMPANY LIMITED,Fashion,default,scanned,NO,N/A,YES,NO,YES,NO,YES,YES,67.86,100.0,85.05,7.82,36.97,5.5,0.156,5.61,4.62,27.25,8175000000.0
SUN,SUNSWEET PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,YES,YES,YES,YES,NO,YES,55.8,46.42,90.98,33.14,12.07,6.1,0.663,20.29,8.0,2.46,1904031616.32
SUPER,SUPER ENERGY CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,25.51,0.0,84.55,0.49,-17.28,5.45,0.01,3.41,2.33,0.11,3008442041.77
SUSCO,SUSCO PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,NO,NO,YES,YES,NO,YES,46.62,29.61,74.12,41.81,7.7,4.41,0.836,15.73,6.44,2.04,2039999910.24
SUTHA,GOLDEN LIME PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,default,scanned,NO,N/A,NO,NO,YES,NO,NO,YES,44.57,25.47,97.57,17.03,6.62,6.76,0.341,8.26,11.74,2.22,804512576.0
SVI,SVI PUBLIC COMPANY LIMITED,Electronic Components,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,18.53,0.0,61.76,0.0,-26.18,3.53,,14.13,11.09,6.8,14641828176.8
SVOA,SVOA PUBLIC COMPANY LIMITED,Information & Communication Technology,default,scanned,NO,N/A,NO,NO,NO,NO,NO,YES,14.43,0.0,48.1,0.0,-45.93,2.75,,3.65,7.62,1.75,1423577750.0
SVR,SIVAROM REAL ESTATE PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,NO,NO,NO,YES,0.0,0.0,0.0,0.0,-19.04,,,9.64,8.0,0.3,153000000.0
SVT,SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED,Commerce,retail,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,33.48,16.4,73.1,16.63,4.26,4.31,0.333,6.0,9.25,1.16,812000000.0
SWC,SHERWOOD CORPORATION (THAILAND) PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,YES,NO,NO,YES,30.43,0.0,100.0,1.44,-6.53,7.59,0.029,9.35,3.26,4.28,2134573730.4
SYMC,SYMPHONY COMMUNICATION PUBLIC COMPANY LIMITED,Information & Communication Technology,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,46.93,65.04,37.84,31.88,16.91,2.16,0.638,7.52,10.78,4.5,1951446991.5
SYNEX,SYNNEX (THAILAND) PUBLIC COMPANY LIMITED,Information & Communication Technology,default,scanned,NO,N/A,NO,NO,NO,YES,NO,YES,30.76,0.0,80.53,22.01,-1.93,5.05,0.44,14.64,9.96,9.5,8049931457.0
SYNTEC,SYNTEC CONSTRUCTION PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,YES,YES,NA,NO,YES,YES,70.37,100.0,100.0,1.24,102.31,7.36,0.025,2.15,4.35,1.63,2593260399.0
TACC,T.A.C. CONSUMER PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,YES,YES,YES,49.37,32.14,100.0,21.7,8.36,7.37,0.434,34.03,9.11,5.7,3465600000.0
TAE,THAI AGRO ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,8.99,0.0,29.97,0.0,,1.71,,0.9,12.33,1.46,1460000000.0
TAKUNI,TAKUNI GROUP PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,-100.0,7.69,,-3.38,,0.39,312000092.04
TAN,Tanachira Retail Corporation Public Company Limited,Commerce,retail,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,,18.42,,9.6,12.6,3.8,1140000000.0
TAPAC,TAPACO PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,,11.09,,0.69,,0.54,222406736.0
TASCO,TIPCO ASPHALT PUBLIC COMPANY LIMITED,Construction Materials,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-21.69,7.19,,10.21,13.04,13.9,21939225823.0
TATG,THAI AUTO TOOLS AND DIE PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NA,NA,NA,NA,YES,31.52,0.0,100.0,5.06,,7.22,0.101,,4.82,0.97,388000000.0
